ID	カテゴリ	質問	回答方針	保留時の対応	関連論点	関連 docs	出典	状態	更新日
QA-01	service-direction	これは結局、何のサービスになるのか?	6/2 で決めるため、現時点では確定していない。3 つの方向性 (A: AI フィット診断 / B: Workspace 連携型 PM / C: AI PoC 高速構築) を比較できる状態にしたと切り返し、判断マトリクスを開く	D-1 保留扱い、5-7 営業日以内の追加面談で確定、Codex に POST_CEO_FOLLOWUP 起票依頼	D-1	docs/CEO_PRESENTATION_DECISION_PACK_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-02	service-direction	誰がこれを使うのか? お客さんの誰?	A (社内利用者) / B (既存顧客) / C (見込み顧客) / D (A+B 併用) の 4 択を提示。サービス方向性により推奨が変わる	D-1 と一括で保留可、社内パイロットは即着手可能と提示	D-2	docs/CEO_PRESENTATION_DISCUSSION_POINTS_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-03	service-direction	他社の同じようなサービスとどう違うのか?	マルチモーダル評価 / 4 軸スコアリング / Workspace ネイティブ統合の 3 差別化軸を提示	方向性確定後 1 週間で競合 5 社の比較表を作る、Claude Code に competitor research タスク起票	D-1	docs/requirements.md	想定 2026-05-22	想定済	2026-05-22
QA-04	service-direction	いつまでに最初のお客様に提供できる?	社内パイロットなら 6/16 (2 週間後) から開始可能。3 段階 (6/16 社内 / 7/14 既存顧客 / 9/1 限定公開) を提示	顧客向け公開時期は営業計画次第なので保留可、社内パイロットだけは無条件で 6/16 開始	D-3	docs/CEO_PRESENTATION_DISCUSSION_POINTS_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-05	tech-ai	Gemini が止まったら、サービスも止まるのか?	止まらない。deterministic fallback パイプラインを実装済、当日デモが quota 切れ状態なので実際に見せられる	完全マルチクラウド AI 化は QA-06 で再回答	D-4	docs/BACKEND_AI_PIPELINE.md	想定 2026-05-22	想定済	2026-05-22
QA-06	tech-ai	Gemini 以外の AI も使えるのか? Claude や ChatGPT は?	開発体制では既に 3-tool 並走中 (Antigravity+Gemini / Codex+GPT-5.5 / Claude Code)。サービス本体は現時点 Gemini 単一だが、A/B/C の選択肢を D-4 で提示	D-4 保留可、3 ヶ月以内に各エンジンの cost/latency/精度を計測した上で再判断	D-4	docs/MULTI_AI_WORKFLOW.md	想定 2026-05-22	想定済	2026-05-22
QA-07	tech-ai	AI の判定根拠は説明できるのか? ブラックボックスではないか?	現状でも structured payload で根拠を返している。matched_skills/missing_skills/4 軸スコア根拠が含まれる。/api/audit/recent で JSONL ログ取得可。6/16 までに UI 化可能 (D-3 選択肢 A)	なし、即答カテゴリ	D-3	docs/CODEX_CONTINUATION_NOTES.md	想定 2026-05-22	想定済	2026-05-22
QA-08	tech-ai	Gemini 3.5 Pro はまだ来ないのか? Pro の方が精度高いだろう	固定の未来モデル名や「来月」前提では判断しない。毎セッション開始時にGemini API公式モデル一覧を確認し、現行のFlash/Pro/マルチモーダル対応モデルを品質・速度・コストで比較して採用する。R1はdocs staleリスクとして解消済	方向性確定後に採用モデルのswitchコストと評価観点を提示	D-4, R1	docs/MULTI_AI_WORKFLOW.md	想定 2026-05-22	想定済	2026-05-22
QA-09	cost	月いくらかかる? 運用コストは?	現状 = ほぼゼロ。本格運用時の見積は方向性別レンジ (A: 月 1-5 万 / B: 5-3 万 / C: 3-15 万)	詳細見積は方向性確定後 1 週間で出す	O-2	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-10	cost	課金モデルは? 売上はどう立てるのか?	6/2 まで決め打ちしない領域。4 つの仮説 (月額 SaaS / 案件従量 / 顧問契約 / 一括導入) を提示し、方向性別の親和性を 1 表で説明	O 系 Optional 論点。当日深掘りせず議事録に「課金モデルは別途検討」	O-2	docs/CEO_PRESENTATION_DECISION_PACK_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-11	ops	どこまでマイティ・リンク社内で運用するのか? 誰が WBS を更新するのか?	現状の WBS 更新者は寛太 + Codex レーン。WBS.tsv 書き込み = Codex のみ、Sheets 同期 = sync_wbs_to_sheets.py 自動化済、社長は Sheets/Calendar を見るだけ	社内追加採用があれば運用役割を再分担	O-4	docs/MULTI_AI_WORKFLOW.md	想定 2026-05-22	想定済	2026-05-22
